reputacao_artista,altura,largura,peso,preco_escultura,preco_base_envio,diferenca_dias_entrega,data_agendada_dias,data_agendada_mes,data_agendada_ano,data_entrega_dias,data_entrega_mes,data_entrega_ano,internacional_Sim,envio_expresso_Sim,instalacao_incluida_Sim,fragil_Sim,pedido_extra_cliente_Sim,localizacao_remota_Sim,material_Argila,material_Bronze,material_Latão,material_Madeira,material_Mármore,material_Não especificado,material_Pedra,transporte_Aéreo,transporte_Não especificado,transporte_Rodoviário,custo
0.67,2.1336,1.2192,48.987936,36.33,73.29,0,2,5,2020,2,5,2020,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,1160.3191175711236
0.61,1.8288,1.524,43.998424,22.207500000000003,71.505,2,4,1,2022,6,1,2022,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1114.7948111325031
0.14,4.572,2.4384,343.369144,32.97,124.8975,3,14,9,2021,17,9,2021,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,1009.7921682989318
0.63,3.048,1.2192,758.859416,23.0475,93.6075,-1,3,12,2021,2,12,2021,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,True,1553.5653608490807
0.34,9.7536,1.8288,505.75508,34.9125,119.7,4,3,2,2022,7,2,2022,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1440.8667788528069
0.81,9.144,3.048,281.680632,26.6175,67.2,-2,22,11,2021,20,11,2021,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,3428.6129320833325
0.14,2.7432000000000003,1.2192,23.586784,20.9475,130.935,-1,3,4,2023,2,4,2023,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,871.7927481458861
0.44,11.5824,2.4384,571.52592,15.96,72.03,0,8,9,2020,8,9,2020,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1207.1953672100885
0.33,2.4384,1.2192,29.48348,26.4075,84.0,3,15,4,2020,18,4,2020,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,792.5138099877715
0.13,7.62,3.3528,69.853168,18.27,79.1175,-1,18,10,2021,17,10,2021,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,711.3317176603746
0.16,2.1336,1.2192,254.465112,29.7675,128.0475,3,28,10,2019,31,10,2019,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1083.896477239058
